Row Labels,Number_of_assigned_group,BUSINESS_COMPLETION_HRS
IN10245946,5,66.29
IN10085258,1,66.3
IN10089357,1,66.3
IN10146329,1,66.3
IN10212372,3,66.3
IN10217710,1,66.3
IN10255013,1,66.3
IN10121749,5,66.31
IN10171059,1,66.32
IN10184876,2,66.32
IN10200212,4,66.32
IN10083814,1,66.33
IN10094071,1,66.33
IN10144531,2,66.33
IN10150355,1,66.33
IN10222873,2,66.33
IN10065244,1,66.35
IN10158008,4,66.35
IN10237956,1,66.35
IN10143376,1,66.37
IN10211219,2,66.37
IN10110296,2,66.38
IN10127145,2,66.38
IN10237970,1,66.38
IN10262131,1,66.38
IN10100100,1,66.39
IN10092681,1,66.4
IN10117791,2,66.4
IN10118163,1,66.4
IN10121338,5,66.4
IN10122549,1,66.4
IN10148154,1,66.4
IN10198096,1,66.4
IN10224219,1,66.4
IN10121341,1,66.41
IN10051926,2,66.42
IN10097397,2,66.42
IN10193411,1,66.42
IN10237966,1,66.42
IN10249934,1,66.42
IN10079108,1,66.43
IN10155915,3,66.43
IN10208807,1,66.43
IN10251277,1,66.43
IN10099461,1,66.44
IN10111650,1,66.44
IN10113140,1,66.44
IN10055206,1,66.45
IN10091918,2,66.45
IN10106947,2,66.45
IN10116171,2,66.45
IN10123534,1,66.45
IN10171062,2,66.45
IN10181131,3,66.45
IN10259721,1,66.45
IN10046849,3,66.46
IN10126843,1,66.46
IN10032032,2,66.47
IN10097153,1,66.47
IN10116639,2,66.47
IN10135603,1,66.47
IN10143656,1,66.47
IN10215211,2,66.47
IN10255028,2,66.47
IN10100778,5,66.48
IN10105673,1,66.48
IN10168158,1,66.48
IN10219176,1,66.48
IN10224323,1,66.48
IN10034390,3,66.5
IN10077125,3,66.5
IN10078452,1,66.5
IN10107069,2,66.5
IN10133185,1,66.5
IN10159214,2,66.51
IN10259417,1,66.51
IN10075261,1,66.52
IN10086581,1,66.52
IN10132762,4,66.52
IN10153897,2,66.52
IN10050663,1,66.53
IN10099047,1,66.53
IN10230761,2,66.53
IN10035924,3,66.55
IN10083219,1,66.55
IN10098764,1,66.55
IN10181555,1,66.55
IN10169781,1,66.56
IN10067961,3,66.57
IN10087201,1,66.57
IN10127836,2,66.57
IN10140575,1,66.57
IN10155902,2,66.57
IN10156052,1,66.57
IN10168960,2,66.57
IN10172564,1,66.57
IN10181990,1,66.57
IN10051247,1,66.58
IN10099979,1,66.58
IN10115977,2,66.58
IN10250569,1,66.58
IN10142264,1,66.59
IN10051341,1,66.6
IN10053650,4,66.6
IN10054697,1,66.6
IN10073405,1,66.6
IN10142941,1,66.6
IN10154577,4,66.6
IN10176971,1,66.6
IN10207671,1,66.6
IN10240737,1,66.6
IN10033085,2,66.61
IN10042987,1,66.61
IN10075493,3,66.62
IN10136521,1,66.62
IN10176514,1,66.62
IN10190040,1,66.62
IN10195651,5,66.62
IN10245335,1,66.62
IN10055468,2,66.63
IN10081993,2,66.63
IN10182856,2,66.63
IN10243816,1,66.63
IN10221402,1,66.64
IN10037911,1,66.65
IN10039685,1,66.65
IN10070472,1,66.65
IN10152091,1,66.65
IN10173963,1,66.65
IN10196284,1,66.65
IN10201994,2,66.65
IN10207162,1,66.65
IN10047490,1,66.67
IN10051179,1,66.67
IN10085159,1,66.67
IN10116595,1,66.67
IN10237300,1,66.67
IN10066646,1,66.68
IN10082817,1,66.68
IN10126239,2,66.68
IN10178808,1,66.68
IN10241623,1,66.68
IN10062474,1,66.7
IN10113714,1,66.7
IN10127090,1,66.7
IN10130950,1,66.7
IN10131236,1,66.7
IN10132991,3,66.7
IN10199959,1,66.7
IN10200809,1,66.7
IN10104474,1,66.72
IN10127093,1,66.72
IN10171819,4,66.72
IN10203472,4,66.72
IN10212819,1,66.72
IN10231072,1,66.72
IN10083214,2,66.73
IN10118973,1,66.73
IN10205814,1,66.73
IN10214527,1,66.73
IN10222735,1,66.73
IN10160764,1,66.74
IN10035787,3,66.75
IN10095262,2,66.75
IN10106959,1,66.75
IN10109679,1,66.75
IN10117785,1,66.75
IN10143926,1,66.75
IN10157877,2,66.75
IN10030752,1,66.77
IN10098280,1,66.77
IN10130185,2,66.77
IN10136405,2,66.77
IN10145699,2,66.77
IN10180615,2,66.77
IN10051241,1,66.78
IN10155324,2,66.78
IN10221062,1,66.78
IN10133188,2,66.79
IN10166849,3,66.79
IN10199831,4,66.79
IN10111935,1,66.8
IN10123550,1,66.8
IN10150089,2,66.8
IN10172601,2,66.8
IN10220882,1,66.8
IN10221022,1,66.8
IN10221932,4,66.8
IN10057906,1,66.82
IN10066130,2,66.82
IN10075277,3,66.82
IN10082437,1,66.82
IN10100119,1,66.82
IN10101983,1,66.82
IN10208243,1,66.82
IN10053683,1,66.83
IN10091836,1,66.83
IN10174205,1,66.83
IN10220910,1,66.83
IN10232688,2,66.83
IN10078559,1,66.84
IN10149776,2,66.84
IN10035789,2,66.85
IN10042474,1,66.85
IN10072726,2,66.85
IN10167242,1,66.85
IN10054468,2,66.87
IN10059217,1,66.87
IN10090630,2,66.87
IN10096146,2,66.87
IN10139456,2,66.87
IN10141796,1,66.87
IN10165924,2,66.87
IN10214422,1,66.87
IN10242835,1,66.87
IN10256402,1,66.87
IN10180621,2,66.88
IN10188783,1,66.88
IN10028844,1,66.89
IN10178804,1,66.89
IN10257477,1,66.89
IN10103426,1,66.9
IN10124151,1,66.9
IN10250004,1,66.9
IN10251493,1,66.9
IN10259439,1,66.9
IN10046167,4,66.92
IN10088139,5,66.92
IN10123434,2,66.92
IN10174123,1,66.92
IN10124200,2,66.93
IN10185511,1,66.93
IN10241501,1,66.93
IN10251249,1,66.93
IN10051579,1,66.95
IN10106356,1,66.95
IN10107516,1,66.95
IN10156148,1,66.95
IN10174157,2,66.95
IN10180553,1,66.95
IN10218580,2,66.95
IN10227243,1,66.95
IN10031081,3,66.96
IN10076091,1,66.96
IN10094805,1,66.97
IN10117277,2,66.97
IN10225750,1,66.97
IN10253049,1,66.97
IN10046995,1,66.98
IN10079006,2,66.98
IN10150628,1,66.98
IN10151324,4,66.98
IN10095639,2,66.99
IN10150608,1,66.99
IN10165266,1,66.99
IN10051685,1,67
IN10068773,2,67
IN10087892,1,67
IN10212783,5,67
IN10234616,1,67
IN10256645,2,67
IN10056910,3,67.01
IN10135012,1,67.01
IN10040868,1,67.02
IN10052062,3,67.02
IN10061448,1,67.02
IN10112609,2,67.02
IN10125446,2,67.02
IN10182011,2,67.02
IN10230383,1,67.02
IN10250863,1,67.02
IN10040866,1,67.03
IN10072836,1,67.03
IN10105974,1,67.03
IN10113269,1,67.03
IN10167119,1,67.03
IN10110852,2,67.04
IN10127485,1,67.04
IN10040870,2,67.05
IN10076160,2,67.05
IN10078641,3,67.05
IN10133317,1,67.05
IN10145503,1,67.05
IN10166313,2,67.05
IN10172054,1,67.05
IN10199468,2,67.05
IN10233460,1,67.05
IN10261981,3,67.05
IN10060162,1,67.06
IN10154137,1,67.06
IN10093258,3,67.07
IN10131484,1,67.07
IN10134555,1,67.07
IN10219350,1,67.07
IN10156302,1,67.08
IN10156445,2,67.08
IN10166060,3,67.08
IN10181629,1,67.08
IN10229471,1,67.08
IN10250404,1,67.08
IN10030106,2,67.1
IN10208030,1,67.1
IN10239687,1,67.1
IN10078343,1,67.11
IN10115033,1,67.11
IN10151275,2,67.12
IN10058170,1,67.13
IN10159018,1,67.13
IN10201125,1,67.13
IN10204097,1,67.13
IN10245575,1,67.13
IN10122796,1,67.14
IN10035956,5,67.15
IN10079974,1,67.15
IN10148252,1,67.15
IN10151269,2,67.15
IN10152016,1,67.15
IN10221759,1,67.15
IN10224894,1,67.15
IN10224944,1,67.15
IN10235020,3,67.15
IN10071616,1,67.16
IN10031086,1,67.17
IN10059749,1,67.17
IN10062814,1,67.17
IN10073311,1,67.17
IN10110497,1,67.17
IN10149061,2,67.17
IN10151230,2,67.17
IN10050675,1,67.18
IN10052335,2,67.18
IN10122422,3,67.18
IN10125557,2,67.18
IN10150054,1,67.18
IN10223004,4,67.18
IN10227870,1,67.18
IN10259343,2,67.18
IN10070547,1,67.19
IN10143163,1,67.19
IN10177912,1,67.19
IN10186212,2,67.19
IN10050539,2,67.2
IN10051283,1,67.2
IN10052676,1,67.2
IN10060267,1,67.2
IN10069200,4,67.2
IN10091677,1,67.2
IN10148509,3,67.2
IN10159943,3,67.2
IN10246620,2,67.2
IN10057584,1,67.22
IN10101361,1,67.22
IN10109707,1,67.22
IN10197916,1,67.22
IN10053792,1,67.23
IN10084808,1,67.23
IN10086796,1,67.23
IN10101996,1,67.23
IN10260806,3,67.23
IN10260732,3,67.24
IN10070672,3,67.25
IN10076678,1,67.25
IN10110749,1,67.25
IN10131862,1,67.25
IN10133159,5,67.25
IN10205097,1,67.25
IN10235379,1,67.25
IN10044314,1,67.27
IN10080267,2,67.27
IN10088675,1,67.27
IN10079781,1,67.28
IN10184380,3,67.28
IN10256577,1,67.28
IN10234522,1,67.29
IN10138514,1,67.3
IN10167467,1,67.3
IN10182658,1,67.3
IN10168694,1,67.31
IN10139096,1,67.32
IN10156444,1,67.32
IN10161623,3,67.32
IN10170008,1,67.32
IN10197135,1,67.32
IN10234999,1,67.32
IN10064755,3,67.33
IN10089240,1,67.33
IN10100841,1,67.33
IN10151139,1,67.33
IN10261131,3,67.33
IN10210589,1,67.34
IN10097550,1,67.35
IN10122437,3,67.35
IN10148451,1,67.35
IN10167602,1,67.35
IN10177849,1,67.35
IN10228167,3,67.35
IN10138478,2,67.36
IN10063174,2,67.37
IN10120758,1,67.37
IN10138858,1,67.37
IN10208108,2,67.37
IN10214466,2,67.37
IN10214772,3,67.37
IN10101136,1,67.38
IN10194446,5,67.38
IN10194709,1,67.38
IN10224889,1,67.38
IN10241528,5,67.38
IN10071803,1,67.4
IN10185178,2,67.4
IN10224885,1,67.4
IN10224887,1,67.4
IN10198094,1,67.41
IN10053901,1,67.42
IN10076025,1,67.42
IN10095276,1,67.42
IN10224879,1,67.42
IN10031232,3,67.43
IN10108832,1,67.43
IN10144133,1,67.43
IN10163823,1,67.43
IN10224868,1,67.43
IN10224871,1,67.43
IN10224878,1,67.43
IN10102940,4,67.44
IN10094275,4,67.45
IN10094524,1,67.45
IN10168910,1,67.45
IN10196584,2,67.45
IN10207988,1,67.45
IN10224747,1,67.45
IN10242847,2,67.45
IN10058036,2,67.46
IN10037201,3,67.47
IN10063490,2,67.47
IN10074264,1,67.47
IN10076032,1,67.47
IN10085580,2,67.47
IN10100290,1,67.47
IN10158157,1,67.47
IN10184505,1,67.47
IN10051901,2,67.48
IN10080649,2,67.48
IN10124960,2,67.48
IN10138481,2,67.48
IN10200162,1,67.48
IN10037473,5,67.49
IN10066659,3,67.5
IN10104305,3,67.5
IN10123642,1,67.5
IN10157085,1,67.5
IN10164476,1,67.5
IN10206012,1,67.5
IN10047003,6,67.51
IN10089833,1,67.52
IN10094163,1,67.52
IN10123794,3,67.52
IN10170089,1,67.52
IN10202880,5,67.52
IN10046339,5,67.53
IN10212885,1,67.53
IN10217046,1,67.53
IN10040351,1,67.55
IN10068372,1,67.55
IN10103763,4,67.55
IN10205653,2,67.55
IN10229770,1,67.55
IN10073222,2,67.56
IN10194191,1,67.56
IN10170191,1,67.57
IN10186529,1,67.57
IN10200393,1,67.57
IN10239394,1,67.57
IN10047156,1,67.58
IN10049869,1,67.58
IN10058717,4,67.58
IN10102979,1,67.58
IN10135505,2,67.58
IN10042482,2,67.59
IN10204007,2,67.59
IN10031689,2,67.6
IN10064772,1,67.6
IN10092382,1,67.6
IN10095771,1,67.6
IN10115079,1,67.6
IN10128670,2,67.6
IN10136076,1,67.61
IN10181714,2,67.61
IN10041420,1,67.62
IN10049615,1,67.62
IN10058267,3,67.62
IN10112014,1,67.62
IN10154143,1,67.62
IN10043257,2,67.63
IN10048743,2,67.63
IN10162396,2,67.63
IN10258407,1,67.63
IN10080867,1,67.64
IN10235044,1,67.64
IN10113190,1,67.65
IN10063502,3,67.67
IN10051026,3,67.68
IN10112579,1,67.68
IN10152470,5,67.69
IN10071940,1,67.7
IN10140205,3,67.7
IN10148078,1,67.7
IN10148585,1,67.7
IN10203462,1,67.7
IN10221223,2,67.7
IN10234857,4,67.7
IN10167493,1,67.72
IN10253862,1,67.72
IN10048096,1,67.73
IN10048103,3,67.73
IN10086062,1,67.73
IN10209652,2,67.73
IN10256027,1,67.73
IN10053564,2,67.74
IN10150406,1,67.74
IN10067397,1,67.75
IN10087979,1,67.75
IN10163439,2,67.75
IN10181481,2,67.76
IN10047001,6,67.77
IN10090216,3,67.77
IN10114927,1,67.77
IN10152009,2,67.77
IN10149394,3,67.78
IN10152326,1,67.78
IN10180546,1,67.78
IN10215469,1,67.79
IN10058364,1,67.8
IN10096144,4,67.8
IN10216405,1,67.8
IN10247563,4,67.8
IN10170439,1,67.81
IN10066899,1,67.82
IN10075910,3,67.82
IN10115154,2,67.82
IN10143531,1,67.82
IN10151638,4,67.82
IN10187952,1,67.82
IN10241731,2,67.82
IN10257672,1,67.82
IN10149077,1,67.83
IN10261157,2,67.83
IN10089623,1,67.85
IN10125784,1,67.85
IN10167358,1,67.85
IN10206180,1,67.85
IN10210582,1,67.85
IN10107398,1,67.86
IN10131065,1,67.87
IN10217411,1,67.87
IN10224736,1,67.87
IN10045030,1,67.88
IN10116015,1,67.88
IN10154006,1,67.88
IN10055228,1,67.89
IN10066094,2,67.89
IN10068633,1,67.89
IN10093435,2,67.9
IN10099629,1,67.9
IN10131606,1,67.9
IN10178906,1,67.9
IN10256940,1,67.9
IN10029229,1,67.92
IN10114210,1,67.92
IN10044154,1,67.93
IN10080079,3,67.93
IN10134999,1,67.93
IN10238345,2,67.94
IN10074709,2,67.95
IN10159111,1,67.95
IN10204201,2,67.95
IN10065516,1,67.96
IN10045806,2,67.97
IN10046999,6,67.97
IN10057849,3,67.97
IN10081038,2,67.97
IN10034612,1,67.98
IN10045653,1,67.98
IN10220550,2,67.98
IN10254926,1,67.98
IN10220823,1,67.99
IN10226570,2,67.99
IN10214645,2,68
IN10250602,1,68
IN10046972,2,68.02
IN10108530,2,68.02
IN10131924,1,68.02
IN10255397,2,68.02
IN10163126,1,68.03
IN10170384,1,68.03
IN10212419,1,68.03
IN10221275,1,68.03
IN10251880,2,68.03
IN10180486,2,68.04
IN10065123,2,68.05
IN10166270,1,68.05
IN10191951,1,68.05
IN10224734,1,68.05
IN10235333,1,68.05
IN10250578,1,68.05
IN10043937,2,68.07
IN10044109,1,68.07
IN10140774,2,68.07
IN10175828,2,68.07
IN10259393,1,68.07
IN10033989,1,68.08
IN10032875,2,68.09
IN10224733,1,68.09
IN10038984,1,68.1
IN10045187,1,68.1
IN10048661,2,68.1
IN10094270,1,68.1
IN10100870,1,68.1
IN10140282,1,68.1
IN10203489,4,68.11
IN10102599,1,68.12
IN10123301,1,68.12
IN10129951,2,68.12
IN10144193,1,68.12
IN10175827,2,68.12
IN10050894,2,68.13
IN10072524,2,68.13
IN10110689,2,68.13
IN10224732,1,68.13
IN10112998,2,68.14
IN10033986,1,68.15
IN10056010,1,68.15
IN10068856,1,68.15
IN10078606,1,68.15
IN10104138,1,68.15
IN10104633,1,68.15
IN10176236,1,68.15
IN10241459,4,68.15
IN10144177,3,68.16
IN10147170,1,68.17
IN10159323,1,68.17
IN10159448,1,68.17
IN10160148,1,68.17
IN10176838,3,68.17
IN10232588,2,68.17
IN10091516,1,68.18
IN10199665,1,68.18
IN10218949,1,68.18
IN10261237,1,68.18
IN10033985,1,68.2
IN10053749,2,68.2
IN10083786,2,68.2
IN10099431,1,68.2
IN10124688,2,68.2
IN10159446,1,68.2
IN10201939,2,68.21
IN10070638,2,68.22
IN10070778,2,68.22
IN10111643,4,68.22
IN10207731,3,68.22
IN10239742,1,68.22
IN10088496,3,68.23
IN10091933,1,68.23
IN10102123,1,68.23
IN10124689,2,68.23
IN10175824,2,68.23
IN10213632,1,68.23
IN10038853,1,68.25
IN10072879,2,68.25
IN10083141,3,68.25
IN10142668,1,68.25
IN10174372,1,68.25
IN10259882,3,68.25
IN10046998,7,68.26
IN10034564,1,68.27
IN10044107,1,68.27
IN10095290,1,68.27
IN10099619,1,68.27
IN10036453,2,68.28
IN10073361,1,68.28
IN10115548,2,68.28
IN10124952,1,68.28
IN10251378,2,68.28
IN10125635,1,68.29
IN10128276,1,68.29
IN10042367,1,68.3
IN10128208,2,68.3
IN10222094,1,68.3
IN10210007,1,68.31
IN10066186,1,68.32
IN10150045,1,68.32
IN10187203,2,68.32
IN10101052,1,68.33
IN10151180,2,68.33
IN10231319,3,68.33
IN10243113,2,68.33
IN10127536,3,68.35
IN10159247,1,68.35
IN10258379,2,68.35
IN10185030,1,68.36
IN10258400,1,68.36
IN10260324,1,68.36
IN10163101,1,68.37
IN10198077,1,68.37
IN10235781,1,68.37
IN10076815,1,68.38
IN10111549,2,68.38
IN10116330,1,68.38
IN10133669,2,68.38
IN10205440,1,68.38
IN10116534,1,68.4
IN10133101,4,68.4
IN10214804,1,68.4
IN10236423,1,68.4
IN10061852,2,68.41
IN10189025,4,68.41
IN10087425,1,68.42
IN10158038,3,68.42
IN10200973,2,68.42
IN10079045,1,68.43
IN10151136,2,68.43
IN10248221,2,68.43
IN10078337,1,68.44
IN10043632,2,68.45
IN10047967,1,68.45
IN10087437,1,68.45
IN10116689,1,68.45
IN10118229,1,68.45
IN10217699,1,68.45
IN10230716,1,68.45
IN10242378,1,68.45
IN10262379,1,68.45
IN10032834,1,68.47
IN10077916,1,68.47
IN10105484,4,68.47
IN10127930,1,68.47
IN10202288,1,68.47
IN10076183,1,68.48
IN10148586,1,68.48
IN10103286,4,68.5
IN10181453,4,68.5
IN10056478,1,68.52
IN10063939,2,68.52
IN10078272,1,68.52
IN10165763,1,68.52
IN10205600,1,68.52
IN10148444,1,68.53
IN10216909,1,68.53
IN10043876,2,68.54
IN10104116,2,68.54
IN10126820,3,68.54
IN10135129,1,68.55
IN10213481,1,68.55
IN10046343,1,68.57
IN10079942,1,68.57
IN10091755,1,68.57
IN10122112,1,68.57
IN10127613,1,68.57
IN10135122,1,68.57
IN10152222,1,68.57
IN10169277,1,68.57
IN10179426,3,68.57
IN10095129,1,68.58
IN10103950,2,68.58
IN10110033,1,68.58
IN10121891,2,68.58
IN10161666,1,68.58
IN10176860,2,68.58
IN10238431,1,68.58
IN10247962,1,68.58
IN10032762,1,68.59
IN10065287,1,68.6
IN10078838,2,68.6
IN10122907,1,68.6
IN10134481,3,68.6
IN10135135,1,68.6
IN10135136,1,68.6
IN10242001,1,68.6
IN10243736,1,68.6
IN10046994,7,68.62
IN10063974,1,68.62
IN10100896,4,68.62
IN10220961,4,68.62
IN10055920,1,68.63
IN10138817,1,68.63
IN10167762,1,68.63
IN10173098,1,68.63
IN10202137,1,68.63
IN10110840,1,68.64
IN10110861,2,68.64
IN10227055,3,68.64
IN10032584,1,68.65
IN10046151,2,68.65
IN10059949,1,68.65
IN10084613,1,68.65
IN10109189,2,68.65
IN10112570,1,68.65
IN10181591,3,68.65
IN10195430,2,68.66
IN10249446,1,68.66
IN10032201,2,68.67
IN10247625,1,68.67
IN10050317,1,68.68
IN10116486,1,68.68
IN10163838,1,68.69
IN10233476,2,68.69
IN10046992,6,68.7
IN10059483,1,68.7
IN10116611,1,68.7
IN10206539,5,68.7
IN10254859,2,68.7
IN10256617,1,68.7
IN10118652,3,68.71
IN10047517,1,68.72
IN10029652,2,68.73
IN10099433,1,68.73
IN10126408,1,68.73
IN10044030,2,68.74
IN10069059,3,68.75
IN10078903,1,68.75
IN10129713,1,68.75
IN10166388,1,68.75
IN10167200,1,68.75
IN10171113,1,68.75
IN10217585,3,68.75
IN10061591,1,68.76
IN10133944,1,68.77
IN10155741,1,68.77
IN10055630,1,68.78
IN10059548,1,68.78
IN10149572,1,68.78
IN10186839,1,68.78
IN10223806,4,68.78
IN10256618,1,68.78
IN10051399,2,68.79
IN10070121,1,68.8
IN10075192,2,68.8
IN10144110,1,68.8
IN10166387,1,68.8
IN10256615,1,68.8
IN10141886,1,68.81
IN10150545,3,68.81
IN10256619,1,68.81
IN10160091,2,68.82
IN10170894,1,68.84
IN10063558,1,68.85
IN10108154,1,68.85
IN10132575,1,68.85
IN10149603,1,68.85
IN10247498,1,68.85
IN10030615,3,68.86
IN10094948,1,68.87
IN10055631,1,68.88
IN10138477,1,68.88
IN10081789,2,68.9
IN10122937,1,68.9
IN10138476,1,68.9
IN10152204,1,68.9
IN10203454,1,68.9
IN10224722,1,68.9
IN10138475,1,68.91
IN10059539,1,68.92
IN10096026,2,68.92
IN10128492,1,68.92
IN10191476,1,68.92
IN10235986,1,68.92
IN10245916,1,68.92
IN10066087,1,68.93
IN10069937,1,68.93
IN10191469,1,68.93
IN10193496,4,68.93
IN10262364,2,68.93
IN10106761,1,68.94
IN10047500,1,68.95
IN10140907,1,68.95
IN10148920,1,68.95
IN10165526,4,68.95
IN10202166,1,68.95
IN10202621,1,68.95
IN10048273,2,68.96
IN10059770,1,68.97
IN10076492,1,68.97
IN10078418,1,68.97
IN10120923,1,68.97
IN10238567,1,68.97
IN10030282,1,68.98
IN10046988,6,68.98
IN10055075,1,68.98
IN10070925,1,68.98
IN10233270,5,68.99
IN10030041,2,69
IN10059767,1,69
IN10062897,1,69
IN10105718,2,69
IN10105995,1,69
IN10148471,1,69
IN10149601,1,69
IN10150572,2,69
IN10184144,6,69
IN10090232,1,69.01
IN10125313,2,69.01
IN10059761,1,69.02
IN10062716,2,69.02
IN10064668,1,69.02
IN10097846,1,69.02
IN10118621,1,69.02
IN10185596,3,69.02
IN10088120,5,69.03
IN10096900,2,69.03
IN10102038,3,69.03
IN10160132,1,69.03
IN10176478,1,69.03
IN10208830,1,69.03
IN10225769,1,69.03
IN10104123,1,69.05
IN10130147,1,69.05
IN10131912,1,69.05
IN10182140,1,69.05
IN10191484,1,69.05
IN10195533,1,69.05
IN10197869,1,69.05
IN10214155,2,69.05
IN10105339,2,69.06
IN10029702,2,69.07
IN10079187,2,69.07
IN10101722,1,69.07
IN10179079,2,69.07
IN10201788,1,69.07
IN10248272,1,69.07
IN10061029,1,69.08
IN10076538,1,69.08
IN10234499,3,69.08
IN10260514,2,69.08
IN10047542,1,69.1
IN10103739,1,69.1
IN10105466,4,69.1
IN10150541,1,69.1
IN10238560,1,69.1
IN10222902,1,69.11
IN10078973,1,69.12
IN10108945,1,69.12
IN10203895,3,69.13
IN10197030,3,69.14
IN10040891,1,69.15
IN10057557,1,69.15
IN10067173,3,69.15
IN10131888,2,69.15
IN10153518,1,69.15
IN10191478,1,69.15
IN10239378,1,69.15
IN10241834,1,69.15
IN10247617,1,69.15
IN10067555,1,69.16
IN10057570,1,69.17
IN10062712,1,69.17
IN10104694,1,69.17
IN10186469,3,69.17
IN10252290,1,69.17
IN10254469,2,69.17
IN10061956,1,69.18
IN10103991,1,69.18
IN10109496,1,69.18
IN10201141,1,69.18
IN10180157,2,69.19
IN10048171,1,69.2
IN10173099,1,69.2
IN10191483,1,69.2
IN10197758,1,69.2
IN10076098,3,69.22
IN10079153,1,69.22
IN10133672,1,69.22
IN10169188,2,69.22
IN10044020,1,69.23
IN10262035,1,69.23
IN10069476,3,69.24
IN10122411,1,69.24
IN10141706,1,69.24
IN10191488,1,69.24
IN10075931,1,69.25
IN10168456,1,69.25
IN10179176,1,69.25
IN10215010,1,69.25
IN10064745,2,69.26
IN10068394,2,69.26
IN10183274,2,69.26
IN10230651,2,69.27
IN10046987,7,69.28
IN10060717,1,69.28
IN10093250,2,69.28
IN10122649,1,69.28
IN10179175,1,69.28
IN10250505,1,69.28
IN10031124,1,69.3
IN10106643,5,69.3
IN10243759,1,69.3
IN10262361,2,69.3
IN10073692,2,69.32
IN10090035,4,69.34
IN10129191,2,69.35
IN10164559,1,69.35
IN10171569,1,69.35
IN10176836,1,69.35
IN10166371,3,69.36
IN10115150,1,69.37
IN10117232,2,69.38
IN10130010,1,69.38
IN10158349,1,69.38
IN10208288,1,69.38
IN10077855,1,69.39
IN10118639,2,69.39
IN10183279,3,69.4
IN10220811,2,69.41
IN10231136,1,69.41
IN10121325,1,69.42
IN10156242,1,69.42
IN10204473,2,69.42
IN10035325,2,69.43
IN10038291,1,69.43
IN10056954,1,69.43
IN10086675,2,69.43
IN10232535,1,69.43
IN10241155,1,69.43
IN10247855,2,69.43
IN10038376,1,69.45
IN10081246,1,69.45
IN10110293,4,69.45
IN10113063,1,69.45
IN10257441,1,69.45
IN10043629,1,69.5
IN10087054,1,69.5
IN10122804,1,69.5
IN10068563,1,69.52
IN10108640,1,69.52
IN10099072,2,69.53
IN10058576,3,69.54
IN10145901,1,69.54
IN10154446,1,69.54
IN10130451,1,69.55
IN10140979,2,69.55
IN10145900,1,69.55
IN10184163,2,69.55
IN10247611,1,69.55
IN10154550,1,69.56
IN10261310,2,69.56
IN10088353,3,69.57
IN10191495,1,69.57
IN10044273,1,69.58
IN10056681,2,69.58
IN10076083,1,69.58
IN10115761,3,69.58
IN10203167,4,69.58
IN10192349,1,69.59
IN10049874,1,69.6
IN10075273,2,69.6
IN10090186,1,69.6
IN10126172,1,69.6
IN10146254,1,69.6
IN10168027,1,69.62
IN10216414,5,69.62
IN10088349,1,69.63
IN10151465,1,69.63
IN10242543,1,69.63
IN10070253,1,69.64
IN10050726,1,69.65
IN10058141,2,69.65
IN10207097,2,69.65
IN10201783,1,69.66
IN10213474,2,69.66
IN10146267,5,69.68
IN10167820,1,69.68
IN10068007,2,69.7
IN10079853,1,69.7
IN10093300,1,69.7
IN10111565,1,69.7
IN10159083,1,69.7
IN10244949,1,69.7
IN10053305,1,69.71
IN10080479,2,69.72
IN10148727,1,69.72
IN10208364,1,69.72
IN10132727,4,69.73
IN10163712,1,69.73
IN10047660,1,69.74
IN10067042,2,69.75
IN10090537,2,69.75
IN10207779,2,69.75
IN10087910,1,69.77
IN10154479,2,69.77
IN10068550,1,69.78
IN10255577,2,69.78
IN10149415,1,69.79
IN10087781,1,69.8
IN10161634,1,69.8
IN10057978,1,69.82
IN10234087,1,69.82
IN10247550,1,69.82
IN10080887,1,69.83
IN10091414,1,69.83
IN10155569,1,69.83
IN10181512,1,69.83
IN10217449,1,69.83
IN10137742,1,69.84
IN10139602,1,69.84
IN10042005,1,69.85
IN10144082,1,69.85
IN10107016,1,69.87
IN10133269,5,69.87
IN10176465,1,69.87
IN10182597,1,69.87
IN10224519,1,69.87
IN10256914,4,69.87
IN10046631,4,69.88
IN10058174,1,69.88
IN10058847,2,69.88
IN10071296,1,69.88
IN10163099,1,69.88
IN10088629,1,69.89
IN10130919,1,69.89
IN10159758,1,69.9
IN10145840,1,69.91
IN10038842,1,69.92
IN10114742,3,69.93
IN10118710,1,69.93
IN10131901,1,69.93
IN10188314,3,69.93
IN10236673,1,69.93
IN10261542,1,69.93
IN10081424,2,69.94
IN10158747,2,69.94
IN10070343,2,69.97
IN10113887,3,69.97
IN10158184,2,69.97
IN10038695,1,69.98
IN10040694,2,69.98
IN10045703,3,69.98
IN10078975,1,69.98
IN10148402,2,69.98
IN10170903,1,69.98
IN10030260,1,70
IN10031562,1,70
IN10032845,6,70
IN10041367,2,70
IN10046566,1,70
IN10049039,1,70
IN10053252,1,70
IN10053253,1,70
IN10065733,2,70
IN10066365,1,70
IN10067353,1,70
IN10070608,3,70
IN10077275,1,70
IN10079380,1,70
IN10080122,3,70
IN10080296,1,70
IN10083872,1,70
IN10086736,1,70
IN10088996,4,70
IN10089371,2,70
IN10089484,2,70
IN10092876,2,70
IN10097427,1,70
IN10097701,2,70
IN10099363,3,70
IN10102713,4,70
IN10107631,3,70
IN10108290,2,70
IN10109467,2,70
IN10117494,2,70
IN10117546,2,70
IN10118497,2,70
IN10126570,1,70
IN10127839,1,70
